,project_name,project_url,snky_url,project_test_frequency,project_total_dependency,project_last_tested,project_issue_count,project_monitored
72,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/0fcd3b9f-f588-4dd1-aaae-9d47167b07b4,daily,2,2023-01-20T03:34:32.940Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
73,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/1ba36c81-5d77-4e71-8efd-885468514292,daily,1,2023-01-20T03:21:34.599Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
74,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/a3aa0e91-c585-4eae-bfac-5ec1fc6b574a,daily,45,2023-01-20T03:17:20.770Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
75,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/16cc1dae-28de-42d4-bcf8-a9094200b12d,daily,29,2023-01-20T03:00:42.871Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
76,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/014efe0a-b33d-4407-9318-9b84208be34f,daily,227,2023-01-20T02:50:02.329Z,"IssueCounts(low=0, medium=3, high=2, critical=0)",True
77,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/d0ef2599-54ce-4590-93d2-8e65c864ca7a,daily,0,2023-01-20T02:49:49.028Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
78,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-wb-login,https://app.snyk.io/org/bedrock-1rn/project/4e8072fe-f25b-497d-9bc3-7361771dfe2a,daily,1690,2023-01-20T02:44:41.781Z,"IssueCounts(low=1, medium=24, high=13, critical=0)",True
79,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/e3325f31-b434-48c7-917d-79b616a133ea,daily,0,2023-01-20T02:37:30.647Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
80,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/3b9ced18-db34-4111-9252-af176336f849,daily,1,2023-01-20T01:53:05.486Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
81,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/ba78f3b4-5cef-42c6-8d4b-26be24351466,daily,184,2023-01-20T01:48:44.949Z,"IssueCounts(low=0, medium=1, high=0, critical=0)",True
82,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/d77a574a-90fc-4d0e-98e4-5db14902985e,daily,99,2023-01-20T01:41:16.092Z,"IssueCounts(low=4, medium=38, high=59, critical=1)",True
83,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/dc8f0059-ab01-4dc4-abe5-e5acee5b0771,daily,0,2023-01-20T01:18:07.481Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
84,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/90b2b789-11f7-40c4-8fce-dabbd5397afb,daily,154,2023-01-20T00:37:18.392Z,"IssueCounts(low=0, medium=0, high=1, critical=0)",True
85,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/89ba2c65-bccc-4104-80ba-f02324802cbc,daily,22,2023-01-19T23:59:12.505Z,"IssueCounts(low=1, medium=7, high=2, critical=0)",True
86,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/fe27eddb-239b-43a9-8288-a8317b4484e1,daily,0,2023-01-19T23:57:59.728Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
87,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/1cc7a1ab-d7c9-4894-a844-9b750e876465,daily,44,2023-01-19T23:52:42.260Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
88,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/d8d8feea-c806-4346-a4db-e7db09c7be48,daily,1,2023-01-19T23:52:20.261Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
